土地位置,用途,土地面积(平方米),建筑规模(平方米)/容积率,起始价(万元),竞得单位,竞得时间,成交价(万元),出让方式
大渡口区大渡口组团N分区N01-1号宗地,一类工业用地,84424,≥1.0,8105,重庆红九九食品有限公司,2017年6月16日,8105,挂牌
巴南区李家沱组团V分区V1-4/03 、V1-2/02号宗地,二类居住用地、商业用地,131528,≤263056,78917,重庆远轩房地产开发有限公司,2017年6月16日,79500,拍卖
巴南区李家沱组团G分区G27-1/03、G28-1/03、G30-1/03、G1-8/03号宗地,二类居住用地、商业用地,148251,≤427467,192361,华润置地（常州）有限公司,2017年6月16日,192361,挂牌
南岸区茶园组团J分区J2-4/02、J3-1/02号宗地,二类居住用地,100409,≤212397.4,95579,重庆市垫江县碧桂园房地产开发有限公司、重庆东原睿合,2017年6月16日,96500,拍卖
大渡口区大渡口组团L分区L20-01(部分)、L23-1-1、大渡口组团N分区N32-1、N31-2-3号宗地,二类居住用地、商业用地,93405,≤228539.2,102843,西安金地置业投资有限公司,2017年6月16日,102843,挂牌
沙坪坝区西永组团L标准分区L39-6/03、L39-7/04、L21-1-1/05、L22-1/05号宗地,二类居住用地,156843,≤275075,96277,深圳联新投资管理有限公司、重庆龙湖企业拓展有限公司,2017年6月16日,160000,拍卖
沙坪坝区沙坪坝组团D分区D11-1/04、D11-2/04号,商业用地、商务用地,81459,≤480000,341069,重庆龙湖地产发展有限公司,2017年6月16日,341069,挂牌
南岸区茶园组团M分区M23-1/02（部分）号宗地,物流仓储用地,88234,≤1.5,5824,领安（重庆）仓储有限公司,2017年6月9日,5824,挂牌
巴南区李家沱组团G分区G14-2/03、G15-3/03、G16-3/03号宗地,二类居住用地、商业用地,179607,≤419754,209877,重庆辉沛企业管理有限公司和重庆市垫江县碧桂园房地产,2017年6月9日,211000,拍卖
巴南区木洞组团C分区C43-1/01（部分）号宗地,二类工业用地,4640,≥1.0,159,重庆新希望饲料有限公司,2017年5月16日,159,挂牌
渝北区唐家沱组团C分区C3-32/02（部分）号宗地,一类工业用地,32096,≥0.7,2183,重庆澳腾汽车部件有限责任公司,2017年5月16日,2183,挂牌
南岸区南坪组团J分区J10-2/04(部分)宗地,商业商务用地,14159,≤26353.89,19235,重庆城市综合交通枢纽（集团）有限公司,2017年5 月16 日,19235,挂牌
两江新区大竹林组团O分区O9-7/05(部分)宗地,商业商务用地,11404,≤17255.07,11893,重庆城市综合交通枢纽（集团）有限公司,2017年5月16日,11893,挂牌
